,K,m,cluster mean phase velocity,cluster size,type,$r$\'s temporal std
0,1.2,0.0,0.1634072414993848,41.0,main,0.05007708264006531
1,1.4,0.0,0.1051021041695899,98.0,main,0.06297862982059045
2,1.4,0.0,-0.144122054406178,27.0,2nd cluster(-),0.06297862982059045
3,1.5,0.0,0.05505331706643663,229.0,main,0.03347408481067239
4,1.6,0.0,0.01549497952953903,314.0,main,0.02487557032285821
5,1.7,0.0,0.0134464790830188,365.0,main,0.01828951852700065
6,1.8,0.0,0.02091376802279095,409.0,main,0.01745172402295468
7,1.9,0.0,0.019969921864061,431.0,main,0.01300715018177958
8,2.0,0.0,0.01085866189685288,448.0,main,0.01089779548239407
9,2.1,0.0,0.001150371027982561,463.0,main,0.007526482077407024
10,2.2,0.0,-0.0006489469396746817,471.0,main,0.00843916996677451
11,2.3,0.0,-0.003395045022133133,476.0,main,0.006293442909662968
12,2.4,0.0,-0.00628612082582231,482.0,main,0.006147368531193601
13,2.5,0.0,-0.002491609364616538,488.0,main,0.004530401142869287
14,2.6,0.0,0.002196391921632639,490.0,main,0.003792079190091286
15,2.7,0.0,0.005731260213688152,497.0,main,0.002220522368644718
16,2.8,0.0,0.005863926668974318,497.0,main,0.002068959169652977
17,2.9,0.0,0.006291793894020702,498.0,main,0.001746435871610407
18,3.0,0.0,0.005420436740337254,498.0,main,0.001665236986934555
19,3.1,0.0,0.004389573708971855,498.0,main,0.001531077417892742
20,3.2,0.0,0.002294170179292943,499.0,main,0.001104141868745679
21,3.3,0.0,0.001651973988534719,499.0,main,0.0009700235698557243
22,3.4,0.0,0.0,500.0,main,2.131628207280301e-14
23,3.5,0.0,0.0,500.0,main,6.439293542825908e-15
24,3.6,0.0,0.0,500.0,main,1.598721155460225e-14
25,3.7,0.0,0.0,500.0,main,2.453592884421596e-14
26,3.8,0.0,0.0,500.0,main,2.142730437526552e-14
27,3.9,0.0,0.0,500.0,main,1.210143096841421e-14
28,4.0,0.0,0.0,500.0,main,3.11972669919669e-14
29,4.100000000000001,0.0,0.0,500.0,main,2.875477633779155e-14
30,4.2,0.0,0.0,500.0,main,1.820765760385257e-14
31,4.3,0.0,0.0,500.0,main,0.0
32,4.4,0.0,0.0,500.0,main,2.031708135064036e-14
33,4.5,0.0,0.0,500.0,main,1.965094753586527e-14
34,4.600000000000001,0.0,0.0,500.0,main,1.054711873393899e-14
35,4.7,0.0,0.0,500.0,main,2.542410726391608e-14
36,4.800000000000001,0.0,0.0,500.0,main,2.886579864025407e-15
37,4.9,0.0,0.0,500.0,main,8.43769498715119e-15
38,5.0,0.0,0.0,500.0,main,1.099120794378905e-14
39,5.1,0.0,0.0,500.0,main,2.831068712794149e-14
40,5.199999999999999,0.0,0.0,500.0,main,3.086420008457935e-14
41,5.299999999999999,0.0,0.0,500.0,main,1.387778780781446e-14
