K,m,r,rstd,g1,g2,g3,g4,g5,g1_std,g2_std,g3_std,g4_std,g5_std
1.0,0.0,0.053376697002813986,0.030342050329419678,26.726,23.006,20.398,19.418,18.742,5.584883526090764,3.223346708003962,1.453133166643716,1.0369551581433005,1.0428019946279343
1.05,0.0,0.06132078462578106,0.02706174604302265,31.422,26.19,22.846,20.962,19.306,9.054717886273407,3.31811693585382,2.4360385875433117,2.4438813391815857,1.7641893322430002
1.1,0.0,0.04338274223219548,0.02510005156031594,29.534,26.366,24.52,23.046,21.73,5.049043869882704,2.436399802988014,1.083328205116067,1.519172142977878,1.6950221237494176
1.15,0.0,0.055986641007039026,0.026522071230352853,27.504,24.206,22.72,21.64,20.552,3.0235713981978285,1.6623970644824917,1.051475154247589,0.9112628599915605,1.0598565940729912
1.2,0.0,0.06045992905603214,0.026572282667739495,38.354,32.028,26.904,24.836,23.382,2.8983933480464654,4.218911708011907,2.7789897444934843,1.9801777697974565,1.472438793294992
1.25,0.0,0.062320276019725084,0.030465397482485723,34.314,30.182,27.006,22.922,21.256,6.664788368733129,2.831408836604139,3.1384652300129265,1.6588899903248544,1.5641176426343353
1.3,0.0,0.0688554266994412,0.035053876382460485,33.426,31.37,25.586,22.2,20.528,3.469369395149452,1.2186467905016602,3.7081806859968385,2.3272301132462223,1.9537696896000825
1.35,0.0,0.06120890997773679,0.0355174541493891,36.11,29.74,25.736,23.242,22.08,4.8934548122977635,2.92854912883496,2.5499615683378405,1.1132996002873594,0.8588364221433556
1.4,0.0,0.07634937486664296,0.03803026848046952,44.824,33.892,29.452,28.738,26.25,8.170741949174566,6.127996083549677,0.8483489847933986,0.8794066181238376,1.939974226632921
1.45,0.0,0.08356492409039759,0.03608775268888829,41.774,33.444,29.75,26.71,24.48,8.555870733011345,2.458223748969972,1.935846068260594,2.487146959871884,1.740574617762773
1.5,0.0,0.0871510907108493,0.041099197090671974,74.104,41.536,30.598,25.866,23.29,14.002613470349033,3.936585322332028,4.298417848464708,3.3805390102763138,1.9374983870961053
1.55,0.0,0.08685832920738266,0.03682777558090374,71.12,46.314,35.296,29.548,25.276,14.643141739394594,0.9630181722065217,4.467704556033205,2.031673202067706,1.73315434973346
1.6,0.0,0.15789414620727957,0.03634901360676241,123.474,43.054,35.814,32.396,25.336,21.579928730187987,5.747615505581429,2.4115148765869137,3.169729325983537,5.4891806310231575
1.65,0.0,0.2697024346332497,0.044712308214378514,338.878,24.432,20.532,18.388,16.94,3.459930057096534,3.1050565212246948,2.188372911548679,1.0608751104630574,1.3268006632497604
1.7000000000000002,0.0,0.3603471708989817,0.025323975103887023,448.7,19.33,17.326,15.63,14.078,0.8637129152675703,2.5458004635084848,1.5999137476751668,1.6483628241379316,1.3068726028194155
1.75,0.0,0.42895627718434376,0.03228907258794978,517.192,19.646,12.876,11.882,10.734,0.5891824844647034,2.5629444004894073,0.613696993637741,0.9757438188377092,0.9226288527896794
1.8,0.0,0.504648850276656,0.014135280066262032,626.444,10.222,9.176,8.456,7.89,0.4968541033341656,1.161342326792572,0.8927620063600391,0.7848974455303066,0.7469270379361033
1.85,0.0,0.5636623710010908,0.018367351115381632,691.72,9.084,8.252,7.592,7.16,0.805977667184397,1.242957762757853,0.8535197712999976,0.6273244774436896,0.5986651818838299
1.9,0.0,0.615022008452206,0.015386551819713967,747.516,8.878,7.942,7.466,7.154,0.8377016175226037,1.1537400053738316,0.736638310163136,0.580382632407277,0.4585673342051294
1.9500000000000002,0.0,0.6619114946651506,0.010995579928214452,800.0,8.354,7.004,6.4,5.99,0.0,1.273060878355788,0.9011015481065362,0.6418722614352493,0.46249324319388924
