K,m,r,rstd,g1,g2,g3,g4,g5,g1_std,g2_std,g3_std,g4_std,g5_std
1.0,0.0,0.039166902523876265,0.01718746837783082,145.08,87.176,69.462,62.644,56.154,39.875576484861014,21.820930869236456,13.436686942844192,10.825029514971309,8.710584595766235
1.1,0.0,0.03802801351495875,0.019308983492143626,106.924,79.588,72.012,63.582,58.49,33.42152336444287,14.176256769683617,12.605072629699508,9.882877920929712,9.030498325120284
1.2,0.0,0.04510959075234068,0.02608240133161824,111.804,80.67,67.884,55.572,49.56,36.104869256098965,12.161295161289331,11.37095176315507,8.476368090166904,7.078304881820229
1.3,0.0,0.06106057882859174,0.023259081073184737,98.572,70.108,58.054,52.238,47.484,9.368287783794878,13.602512120928235,5.4573880199230675,5.63181640325748,4.9551734581142615
1.4,0.0,0.0670363457501651,0.028342116320307312,115.49,73.286,59.054,51.696,46.028,1.4865732407116714,4.142004828582414,8.75460358896961,5.64017588378233,5.054425387717178
1.5,0.0,0.11922512849594079,0.03573067865679737,183.0,78.412,60.004,51.26,48.592,0.0,13.308728564367062,9.756637945522005,4.503376511019267,1.7611178268361312
1.6,0.0,0.22822371148367107,0.03148413501917278,572.868,42.052,32.556,28.114,25.874,4.15338127313156,5.346147771994341,6.038780009240279,4.495442581103673,3.86395186305419
1.7000000000000002,0.0,0.4271402660722023,0.018384353058776736,1061.63,22.984,20.042,17.946,16.106,0.5975784467331456,3.778854852994498,2.9739260246347747,2.4147637565608764,2.049088577880426
1.8,0.0,0.5427762562786425,0.01388394003969001,1329.32,17.572,13.476,11.69,10.74,0.8109253973085302,4.680258112540374,1.7531183645150759,1.617992583419341,1.3462540622037116
1.9,0.0,0.6381608590451208,0.008307285291247005,1540.608,15.168,11.412,9.968,9.302,0.8522534834191096,2.2476156255018314,1.68233647050761,1.0114227602738606,0.8982182362878198
2.0,0.0,0.7032757704036433,0.005824776336619323,1675.184,9.642,8.512,7.844,7.306,0.38748419322599165,1.3718002770082793,0.9827797311707193,0.8022867317860867,0.7722460747715079
2.1,0.0,0.7557164513454858,0.005927222839909845,1772.072,9.676,8.08,7.34,6.672,0.2584879107424592,1.2534049624921706,1.0438390680559901,0.9145490692138902,0.8604742878203856
2.2,0.0,0.7986837068430177,0.004823261634163939,1855.316,6.808,5.666,5.212,4.902,0.8075543325374479,1.2096015873005508,0.7552774324710094,0.5050306921366264,0.419995238068243
2.3,0.0,0.8275024417057405,0.0031689218099465403,1888.216,5.576,5.034,4.722,4.416,0.411514276787575,0.6482468665562529,0.4252575690096515,0.4655276576101578,0.49289349762397977
2.4000000000000004,0.0,0.8510163101062367,0.0027400658666646874,1922.248,5.464,4.706,4.236,4.046,0.4318518264405071,0.9015009706040289,0.6257507491006282,0.438524799754814,0.3160443006921666
2.5,0.0,0.8700466656149131,0.0028011734363566844,1944.096,5.198,4.606,4.274,3.874,0.3078701024783029,0.7394565572094158,0.49675345997788645,0.5503853195716595,0.546007325958179
