level_0,level_1,rs,r_mean,r_std
0,1.0,[0.03193045 0.03193045 0.03312783 ... 0.0796184  0.0774063  0.07443033],0.04243575232723955,0.02143067374931595
0,1.5,[0.03193045 0.03193045 0.03316878 ... 0.06263808 0.0656707  0.06785337],0.05337632006617987,0.026254267745770377
0,2.0,[0.03193045 0.03193045 0.03320974 ... 0.0289544  0.02612065 0.02379819],0.061628768319259945,0.034838763099172665
0,2.5,[0.03193045 0.03193045 0.03325073 ... 0.80457859 0.8007227  0.79674721],0.7937207144679711,0.008059343147869187
0,3.0,[0.03193045 0.03193045 0.03329173 ... 0.86008162 0.86280078 0.86556193],0.8631687300327225,0.008353148423597665
0,3.5,[0.03193045 0.03193045 0.03333276 ... 0.91455609 0.91269037 0.91134344],0.9114920400437692,0.005578560176025246
0,4.0,[0.03193045 0.03193045 0.0333738  ... 0.95331689 0.95251931 0.95131341],0.9461309661422197,0.004784537685414678
0,4.5,[0.03193045 0.03193045 0.03341486 ... 0.96278781 0.96382512 0.96481541],0.9605485310139537,0.003492321146457316
0,5.0,[0.03193045 0.03193045 0.03345594 ... 0.97654469 0.97620035 0.97593633],0.9757442625475087,0.0012406393103871617
0,5.5,[0.03193045 0.03193045 0.03349704 ... 0.98248912 0.98248912 0.98248912],0.9824891150896842,1.548751171085155e-16
0,6.0,[0.03193045 0.03193045 0.03353816 ... 0.98544037 0.98544037 0.98544037],0.9854403722238257,3.50942885421019e-16
0,6.5,[0.03193045 0.03193045 0.0335793  ... 0.98769293 0.98769293 0.98769293],0.9876929283022644,2.552064428797004e-16
0,7.0,[0.03193045 0.03193045 0.03362045 ... 0.98945405 0.98945405 0.98945405],0.9894540452059728,9.155133597044475e-17
0,7.5,[0.03193045 0.03193045 0.03366163 ... 0.99085854 0.99085854 0.99085854],0.990858540238444,1.495301851880016e-16
0,8.0,[0.03193045 0.03193045 0.03370282 ... 0.99199751 0.99199751 0.99199751],0.9919975086135069,9.315293853352738e-17
0,8.5,[0.03193045 0.03193045 0.03374403 ... 0.99293446 0.99293446 0.99293446],0.9929344563362249,1.616509124176106e-16
0,9.0,[0.03193045 0.03193045 0.03378526 ... 0.99371483 0.99371483 0.99371483],0.9937148330782616,2.1958853073791067e-16
0,9.5,[0.03193045 0.03193045 0.03382651 ... 0.9943719  0.9943719  0.9943719 ],0.9943719037309813,1.9094545022907365e-16
0,10.0,[0.03193045 0.03193045 0.03386778 ... 0.99493049 0.99493049 0.99493049],0.9949304927936655,1.808675638786121e-16
0,10.5,[0.03193045 0.03193045 0.03390907 ... 0.99540944 0.99540944 0.99540944],0.9954094441552646,1.1256588421947612e-16
0,11.0,[0.03193045 0.03193045 0.03395037 ... 0.99582328 0.99582328 0.99582328],0.9958232790544417,8.556643779299518e-17
0,11.5,[0.03193045 0.03193045 0.0339917  ... 0.99618334 0.99618334 0.99618334],0.9961833390459714,1.235294626207406e-16
0,12.0,[0.03193045 0.03193045 0.03403304 ... 0.99649859 0.99649859 0.99649859],0.9964985898048319,1.856431005904689e-16
0,12.5,[0.03193045 0.03193045 0.0340744  ... 0.9967762  0.9967762  0.9967762 ],0.9967761965569034,8.203639191033914e-17
0,13.0,[0.03193045 0.03193045 0.03411578 ... 0.99702194 0.99702194 0.99702194],0.9970219426606799,1.3866681133119837e-16
0,13.5,[0.03193045 0.03193045 0.03415718 ... 0.99724054 0.99724054 0.99724054],0.9972405385288344,1.113548712627462e-16
0,14.0,[0.03193045 0.03193045 0.0341986  ... 0.99743585 0.99743585 0.99743585],0.9974358526366539,1.8276577621494737e-16
0,14.5,[0.03193045 0.03193045 0.03424004 ... 0.99761109 0.99761109 0.99761109],0.997611086356385,9.614813431917819e-17
1,1.0,[0.05397133 0.05397133 0.05542953 ... 0.01566586 0.01628155 0.01708845],0.050895106338292126,0.027914003996441724
1,1.5,[0.05397133 0.05397133 0.05549902 ... 0.05322676 0.04889341 0.04445951],0.06134630314629111,0.030723478304699924
1,2.0,[0.05397133 0.05397133 0.05556854 ... 0.1090039  0.10693217 0.10417569],0.06971583751844058,0.03144579857545764
1,2.5,[0.05397133 0.05397133 0.0556381  ... 0.78371165 0.78405043 0.78416949],0.7854427046917956,0.008097603523690064
1,3.0,[0.05397133 0.05397133 0.05570768 ... 0.88140237 0.88190139 0.88129267],0.8646043030846059,0.010146932364122447
1,3.5,[0.05397133 0.05397133 0.0557773  ... 0.92521523 0.92502927 0.92531301],0.9271890427215697,0.004881960482051244
1,4.0,[0.05397133 0.05397133 0.05584694 ... 0.94132676 0.94058908 0.94025041],0.946992978815152,0.0031554279058485907
1,4.5,[0.05397133 0.05397133 0.05591662 ... 0.96551591 0.96609132 0.96698333],0.9667732970581945,0.0018669801902984988
1,5.0,[0.05397133 0.05397133 0.05598633 ... 0.97366053 0.97390716 0.97400711],0.9714842139266284,0.002657093990360207
1,5.5,[0.05397133 0.05397133 0.05605607 ... 0.98120343 0.98074738 0.98039291],0.9802468830943641,0.0013361656353892838
1,6.0,[0.05397133 0.05397133 0.05612584 ... 0.98572825 0.98572825 0.98572825],0.9857282537246894,2.1738835894177095e-16
1,6.5,[0.05397133 0.05397133 0.05619564 ... 0.9879357  0.9879357  0.9879357 ],0.9879356976043879,1.8722982261316894e-16
1,7.0,[0.05397133 0.05397133 0.05626548 ... 0.98966167 0.98966167 0.98966167],0.9896616723065083,7.691850745534256e-17
1,7.5,[0.05397133 0.05397133 0.05633534 ... 0.99103823 0.99103823 0.99103823],0.9910382290835257,1.0956950716934101e-16
1,8.0,[0.05397133 0.05397133 0.05640524 ... 0.9921546  0.9921546  0.9921546 ],0.9921546014242378,2.830524433501838e-16
1,8.5,[0.05397133 0.05397133 0.05647517 ... 0.993073   0.993073   0.993073  ],0.9930730030431598,9.368072144568356e-17
1,9.0,[0.05397133 0.05397133 0.05654513 ... 0.99383796 0.99383796 0.99383796],0.9938379626008482,7.03919921647305e-17
1,9.5,[0.05397133 0.05397133 0.05661512 ... 0.99448207 0.99448207 0.99448207],0.9944820734712613,1.9515939787825226e-16
1,10.0,[0.05397133 0.05397133 0.05668514 ... 0.99502966 0.99502966 0.99502966],0.9950296607424262,2.1152589550219204e-16
1,10.5,[0.05397133 0.05397133 0.05675519 ... 0.99549919 0.99549919 0.99549919],0.9954991903655339,1.5755781989851762e-16
1,11.0,[0.05397133 0.05397133 0.05682528 ... 0.99590489 0.99590489 0.99590489],0.9959048931257798,1.2975842918982555e-16
1,11.5,[0.05397133 0.05397133 0.05689539 ... 0.99625788 0.99625788 0.99625788],0.9962578842682588,2.0513604976425608e-16
1,12.0,[0.05397133 0.05397133 0.05696554 ... 0.99656695 0.99656695 0.99656695],0.9965669509470447,2.4374389617887347e-16
1,12.5,[0.05397133 0.05397133 0.05703572 ... 0.99683912 0.99683912 0.99683912],0.9968391159866078,9.704136775662134e-17
1,13.0,[0.05397133 0.05397133 0.05710593 ... 0.99708005 0.99708005 0.99708005],0.9970800480008701,8.233634315563857e-17
1,13.5,[0.05397133 0.05397133 0.05717617 ... 0.99729436 0.99729436 0.99729436],0.997294364086466,1.548751171085155e-16
1,14.0,[0.05397133 0.05397133 0.05724644 ... 0.99748586 0.99748586 0.99748586],0.9974858561854413,7.330835502736468e-17
1,14.5,[0.05397133 0.05397133 0.05731675 ... 0.99765766 0.99765766 0.99765766],0.9976576624116189,7.464134339039857e-17
2,1.0,[0.04531138 0.04531138 0.04035759 ... 0.04227885 0.04937079 0.05700883],0.04852168407418984,0.029133137667372605
2,1.5,[0.04531138 0.04531138 0.04041213 ... 0.07345526 0.07086245 0.06751633],0.053040884583101494,0.0336686480616286
2,2.0,[0.04531138 0.04531138 0.04046669 ... 0.05663572 0.05027099 0.04388581],0.07060074250839139,0.03745955965562944
2,2.5,[0.04531138 0.04531138 0.04052127 ... 0.76737562 0.76825827 0.76899818],0.7749782685400117,0.009286356442808287
2,3.0,[0.04531138 0.04531138 0.04057588 ... 0.85599034 0.85433658 0.85317132],0.859744717167207,0.007809986734669948
2,3.5,[0.04531138 0.04531138 0.04063052 ... 0.91493903 0.91621082 0.9170676 ],0.9115157081980113,0.004414814656873223
