level_0,level_1,rs,r_mean,r_std
0,1.0,[0.03193045 0.03193045 0.03305    ... 0.03230035 0.02758553 0.02257221],0.03873910438238774,0.020783556051074365
0,1.5,[0.03193045 0.03193045 0.03305201 ... 0.0837738  0.08297412 0.08181765],0.04930954843458048,0.024267845413254385
0,2.0,[0.03193045 0.03193045 0.03305402 ... 0.11594248 0.12128892 0.12624066],0.0576286787298708,0.032293073373992016
0,2.5,[0.03193045 0.03193045 0.03305603 ... 0.36182925 0.36858298 0.37394658],0.13916594230397364,0.08610996379109098
0,3.0,[0.03193045 0.03193045 0.03305803 ... 0.04499231 0.04579023 0.0473329 ],0.1477733331919026,0.09675882156607482
0,3.5,[0.03193045 0.03193045 0.03306004 ... 0.05719151 0.0591812  0.06079944],0.20356572648069116,0.16509841231927494
0,4.0,[0.03193045 0.03193045 0.03306205 ... 0.27673049 0.28081706 0.28587351],0.22891950473656816,0.1282080924430958
0,4.5,[0.03193045 0.03193045 0.03306406 ... 0.59449822 0.60962134 0.62126427],0.2766116864941782,0.155963087255264
0,5.0,[0.03193045 0.03193045 0.03306607 ... 0.05091188 0.05057825 0.05370978],0.28764811590645073,0.24824080758536718
0,5.5,[0.03193045 0.03193045 0.03306807 ... 0.06863456 0.06599703 0.0625678 ],0.25869197943023076,0.2515412903896824
0,6.0,[0.03193045 0.03193045 0.03307008 ... 0.08471509 0.09010219 0.09665919],0.3287215954425748,0.2560159673911033
0,6.5,[0.03193045 0.03193045 0.03307209 ... 0.72244017 0.72883282 0.73287132],0.46179790054610537,0.204712790427133
0,7.0,[0.03193045 0.03193045 0.0330741  ... 0.62910091 0.66286409 0.69489619],0.4487608505566651,0.23012112288932815
0,7.5,[0.03193045 0.03193045 0.03307611 ... 0.20560437 0.21622654 0.22943125],0.45533293901228605,0.22209076249365722
0,8.0,[0.03193045 0.03193045 0.03307812 ... 0.55689652 0.53620678 0.5152757 ],0.3556856537918084,0.21294962512161136
0,8.5,[0.03193045 0.03193045 0.03308012 ... 0.24375185 0.27367192 0.30650401],0.41933868893213744,0.20870357045373608
0,9.0,[0.03193045 0.03193045 0.03308213 ... 0.7077395  0.72660252 0.74526461],0.6277857726461216,0.12949975512090733
0,9.5,[0.03193045 0.03193045 0.03308414 ... 0.561654   0.57440063 0.58935316],0.661236886643134,0.08749904750151452
0,10.0,[0.03193045 0.03193045 0.03308615 ... 0.73236955 0.72097273 0.70919564],0.6944149590836523,0.08518730415477256
0,10.5,[0.03193045 0.03193045 0.03308816 ... 0.49025763 0.48864663 0.4873413 ],0.5935313487357595,0.09738627590636663
0,11.0,[0.03193045 0.03193045 0.03309017 ... 0.65797632 0.68381177 0.71171359],0.7043773517109052,0.1096459730047673
0,11.5,[0.03193045 0.03193045 0.03309218 ... 0.70925946 0.72178567 0.73416128],0.6472550703391365,0.1152871568637785
0,12.0,[0.03193045 0.03193045 0.03309419 ... 0.71876885 0.69593488 0.67439031],0.7000256382684379,0.09613927613714662
0,12.5,[0.03193045 0.03193045 0.03309619 ... 0.54768184 0.54535377 0.54367215],0.6660277855321317,0.10257148500048954
0,13.0,[0.03193045 0.03193045 0.0330982  ... 0.8546941  0.86276446 0.8678505 ],0.7365451038737842,0.09714119542475569
0,13.5,[0.03193045 0.03193045 0.03310021 ... 0.6003174  0.61863675 0.64069388],0.6934333559404192,0.08477490762081878
0,14.0,[0.03193045 0.03193045 0.03310222 ... 0.6130579  0.61241924 0.6135099 ],0.7315167036816553,0.1048616946845761
